,0
6278,1471
6290,1467
6301,1462
6312,1458
6324,1455
6335,1454
6346,1453
6359,1453
6370,1454
6381,1457
6392,1459
6404,1463
6415,1466
6427,1470
6438,1473
6450,1477
6461,1480
6472,1484
6484,1488
6496,1491
6507,1495
6518,1499
6530,1502
6541,1505
6553,1509
6564,1511
6576,1514
6587,1517
6598,1519
6609,1522
6622,1524
6633,1525
6644,1525
6656,1523
6667,1520
6678,1516
6690,1512
6702,1506
6713,1500
6724,1493
6735,1486
6747,1480
6759,1474
6770,1468
6781,1462
6793,1457
6804,1452
6816,1446
6828,1442
6839,1439
6850,1437
6861,1435
6873,1435
6885,1435
6896,1436
6907,1438
6919,1440
6930,1443
6941,1447
6953,1452
6965,1456
6976,1462
6987,1468
6999,1474
7010,1481
7022,1488
7033,1496
7045,1503
7056,1509
7067,1516
7078,1522
7091,1528
7102,1534
7113,1540
7124,1545
7136,1550
7147,1553
7159,1555
7171,1555
7182,1554
7193,1552
7204,1549
7217,1545
7228,1541
7239,1535
7250,1529
7262,1524
7273,1518
7285,1513
7297,1508
7308,1502
7319,1497
7330,1492
7342,1488
7354,1483
7365,1479
7376,1475
7388,1471
7399,1467
7410,1464
7422,1460
7434,1457
7445,1454
7456,1453
7468,1452
7479,1452
7491,1453
7502,1455
7514,1458
7525,1460
7536,1464
7547,1468
7560,1471
7571,1475
7582,1478
7593,1481
7605,1484
7617,1487
7628,1489
7640,1492
7651,1494
7662,1496
7673,1498
7686,1500
7697,1501
7708,1503
7719,1504
7731,1506
7742,1507
7754,1508
7766,1509
7777,1509
7788,1510
7799,1510
7811,1510
7823,1511
7834,1511
7845,1511
7857,1511
7868,1511
7879,1510
7891,1510
7903,1509
7914,1508
7925,1507
7937,1506
7949,1505
7960,1504
7971,1502
7983,1502
7994,1501
8005,1500
8017,1500
8029,1499
8040,1499
8051,1498
8062,1498
8074,1498
8086,1498
8097,1498
8109,1498
8120,1498
8131,1498
8142,1498
8155,1498
8166,1498
8177,1498
8188,1498
8200,1498
8211,1498
8223,1498
8235,1498
8246,1498
8257,1498
8268,1498
8280,1498
8292,1498
8303,1498
8314,1498
8326,1498
8337,1498
8349,1498
8360,1498
8372,1498
8383,1498
8394,1498
8406,1498
8418,1498
8429,1498
8440,1498
8452,1498
8463,1498
8474,1498
8486,1498
8498,1498
8509,1498
8520,1498
8531,1498
8543,1498
8555,1498
8566,1498
8578,1498
8589,1498
8600,1498
8611,1498
8624,1498
8635,1498
8646,1498
8657,1498
8669,1498
8681,1498
8692,1498
8704,1498
8715,1498
8726,1498
8737,1498
8750,1498
8761,1498
8772,1498
8783,1498
8795,1498
8806,1498
8818,1498
8829,1498
8841,1498
8852,1498
8863,1498
8876,1498
8887,1498
8898,1498
8909,1498
8921,1498
8932,1498
8943,1498
8955,1498
8967,1498
8978,1498
8989,1498
9000,1498
9012,1498
9024,1498
9035,1498
9047,1498
9058,1498
9069,1498
9081,1498
9093,1498
9104,1498
9115,1498
9126,1498
9138,1498
9150,1498
9161,1498
9172,1498
9184,1498
9195,1498
9206,1498
9219,1498
9230,1498
9241,1498
9252,1498
9264,1498
9275,1498
9287,1498
9298,1498
9310,1498
9321,1498
9332,1498
9344,1498
9356,1498
9367,1498
9378,1498
9390,1498
9401,1498
9413,1498
9424,1498
9436,1498
9447,1498
9458,1498
9469,1498
9482,1498
9493,1498
9504,1498
9516,1498
9527,1498
9538,1498
9550,1498
9562,1498
9573,1498
9584,1498
9595,1498
9607,1498
9619,1498
9630,1498
9641,1498
9653,1498
9664,1498
9675,1498
9688,1498
9699,1498
9710,1498
9721,1498
9733,1498
9744,1498
9756,1498
9767,1498
9779,1498
9790,1498
9801,1498
9814,1498
9825,1498
9836,1498
9847,1498
9859,1498
9870,1498
9882,1498
9893,1498
9905,1498
9916,1498
9927,1498
9938,1498
