,-0.37,-0.37
7,-0.42,-0.42
9,-0.53,-0.53
11,-0.64,-0.64
12,-0.69,-0.69
14,-0.80,-0.80
16,-0.92,-0.92
18,-1.06,-1.06
23,-1.24,-1.24
27,-1.42,-1.42
31,-1.55,-1.55
35,-1.67,-1.67
39,-1.75,-1.75
44,-1.81,-1.81
48,-1.84,-1.84
52,-1.85,-1.85
56,-1.87,-1.87
60,-1.90,-1.90
64,-1.94,-1.94
68,-2.00,-2.00
72,-2.00,-2.00
76,-2.00,-2.00
80,-2.00,-2.00
84,-2.00,-2.00
89,-2.00,-2.00
94,-2.00,-2.00
98,-2.00,-2.00
102,-2.00,-2.00
106,-2.00,-2.00
110,-1.92,-1.92
115,-1.86,-1.86
119,-1.80,-1.80
123,-1.78,-1.78
129,-1.78,-1.78
133,-1.82,-1.82
137,-1.87,-1.87
142,-1.94,-1.94
146,-1.99,-1.99
150,-2.00,-2.00
154,-2.00,-2.00
159,-2.00,-2.00
163,-2.00,-2.00
167,-2.00,-2.00
173,-1.97,-1.97
177,-1.92,-1.92
181,-1.87,-1.87
186,-1.80,-1.80
190,-1.72,-1.72
194,-1.59,-1.59
199,-1.44,-1.44
203,-1.27,-1.27
207,-1.04,-1.04
212,-0.86,-0.86
217,-0.65,-0.65
221,-0.51,-0.51
226,-0.36,-0.36
230,-0.26,-0.26
234,-0.17,-0.17
239,-0.04,-0.04
243,0.06,0.06
247,0.16,0.16
250,0.26,0.26
254,0.35,0.35
259,0.44,0.44
263,0.54,0.54
267,0.65,0.65
270,0.77,0.77
274,0.87,0.87
278,1.04,1.04
282,1.17,1.17
286,1.36,1.36
290,1.54,1.54
293,1.71,1.71
297,1.86,1.86
302,1.99,1.99
306,2.00,2.00
310,2.00,2.00
313,2.00,2.00
317,2.00,2.00
321,2.00,2.00
325,2.00,2.00
329,1.88,1.88
332,1.74,1.74
336,1.61,1.61
340,1.50,1.50
345,1.41,1.41
349,1.36,1.36
352,1.34,1.34
356,1.35,1.35
360,1.38,1.38
364,1.42,1.42
368,1.48,1.48
371,1.53,1.53
375,1.57,1.57
379,1.60,1.60
384,1.59,1.59
388,1.56,1.56
392,1.51,1.51
395,1.43,1.43
399,1.32,1.32
403,1.17,1.17
407,1.01,1.01
411,0.83,0.83
414,0.65,0.65
418,0.46,0.46
422,0.29,0.29
427,0.12,0.12
431,-0.02,-0.02
435,-0.25,-0.25
439,-0.43,-0.43
444,-0.64,-0.64
448,-0.82,-0.82
452,-1.02,-1.02
457,-1.22,-1.22
461,-1.39,-1.39
465,-1.58,-1.58
470,-1.71,-1.71
475,-1.84,-1.84
479,-1.91,-1.91
483,-1.95,-1.95
488,-1.99,-1.99
492,-2.00,-2.00
496,-2.00,-2.00
501,-2.00,-2.00
505,-2.00,-2.00
509,-2.00,-2.00
515,-2.00,-2.00
519,-2.00,-2.00
523,-2.00,-2.00
528,-2.00,-2.00
532,-2.00,-2.00
