,0
2614,1491
2625,1491
2637,1491
2649,1491
2660,1491
2671,1491
2682,1491
2694,1491
2706,1491
2717,1491
2728,1491
2740,1491
2751,1491
2762,1491
2775,1491
2786,1491
2797,1491
2808,1491
2820,1491
2832,1491
2843,1491
2854,1491
2866,1491
2877,1491
2888,1491
2900,1491
2912,1491
2923,1491
2934,1491
2946,1491
2957,1491
2969,1491
2980,1491
2992,1491
3003,1491
3014,1491
3025,1491
3038,1491
3049,1491
3060,1491
3072,1491
3083,1491
3095,1491
3106,1491
3118,1491
3129,1491
3140,1491
3151,1491
3163,1491
3175,1491
3186,1491
3197,1491
3209,1491
3220,1491
3232,1491
3244,1491
3255,1491
3266,1491
3277,1491
3289,1491
3301,1491
3312,1491
3323,1491
3335,1491
3346,1491
3357,1491
3369,1491
3381,1491
3392,1491
3403,1491
3415,1491
3426,1491
3438,1491
3449,1491
3461,1491
3472,1491
3483,1491
3494,1491
3507,1491
3518,1491
3529,1491
3540,1491
3552,1491
3564,1491
3575,1491
3587,1491
3598,1491
3609,1491
3620,1491
3633,1491
3644,1491
3655,1491
3666,1491
3678,1491
3689,1491
3701,1491
3713,1491
3724,1491
3735,1491
3746,1491
3758,1491
3770,1491
3781,1491
3792,1491
3804,1491
3815,1491
3826,1491
3838,1491
3850,1491
3861,1491
3872,1491
3884,1491
3895,1491
3907,1491
3918,1491
3930,1491
3941,1491
3952,1491
3964,1491
3976,1491
3987,1491
3998,1491
4009,1491
4021,1491
4033,1491
4044,1491
4056,1491
4067,1491
4078,1491
4089,1491
4102,1491
4113,1491
4124,1491
4135,1491
4147,1491
4158,1491
4170,1491
4182,1491
4193,1491
4204,1491
4215,1491
4228,1491
4239,1491
4250,1491
4261,1491
4273,1491
4284,1491
4296,1491
4307,1491
4319,1491
4330,1491
4341,1491
4353,1491
4365,1491
4376,1491
4387,1491
4399,1491
4410,1491
4421,1491
4433,1491
4445,1491
4456,1491
4467,1491
4478,1491
4490,1491
4502,1491
4513,1491
4525,1491
4536,1491
4547,1491
4558,1491
4571,1491
4582,1491
4593,1491
4604,1491
4616,1491
4627,1491
4639,1491
4651,1491
4662,1491
4673,1491
4684,1491
4697,1491
4708,1491
4719,1491
4730,1491
4742,1491
4753,1491
4765,1491
4776,1491
4788,1491
4799,1491
4810,1491
4822,1491
4834,1491
4845,1491
4856,1491
4868,1491
4879,1491
4890,1491
4902,1491
4914,1491
4925,1491
4936,1491
4947,1491
4959,1491
4971,1491
4982,1491
4994,1491
5005,1491
5016,1491
5028,1491
5040,1491
5051,1491
5062,1491
5073,1491
5085,1491
5097,1491
5108,1491
5120,1491
5131,1491
5142,1491
5153,1491
5166,1491
5177,1491
5188,1491
5199,1491
5211,1491
5222,1491
5234,1491
5245,1491
5257,1491
5268,1491
5279,1491
5291,1491
5303,1491
5314,1491
5325,1491
5337,1491
5348,1491
5360,1491
5371,1491
5383,1491
5394,1491
5405,1491
5416,1491
5429,1491
5440,1491
5451,1491
5463,1491
5474,1491
5485,1491
5497,1491
5509,1491
5520,1491
5531,1491
5542,1491
5554,1491
5566,1491
5577,1491
5588,1491
5600,1491
5611,1491
5622,1491
5635,1491
5646,1491
5657,1491
5668,1491
5680,1491
5691,1491
5703,1491
5714,1491
5726,1491
5737,1491
5748,1491
5761,1491
5772,1491
5783,1491
5794,1491
5806,1491
5817,1491
5829,1491
5840,1491
5852,1491
5863,1491
5874,1491
5885,1491
5898,1491
5909,1491
5920,1491
5932,1491
5943,1491
5954,1491
5966,1491
5978,1491
5989,1491
6000,1491
6011,1491
6023,1491
6035,1491
6046,1491
6057,1491
6069,1491
6080,1491
6091,1491
6104,1491
6115,1491
6126,1491
6137,1491
6149,1491
6161,1491
6172,1491
6183,1491
6195,1491
6206,1491
6217,1491
6230,1491
6241,1491
6252,1491
6263,1491
6275,1491
6286,1491
6298,1491
6309,1491
6321,1491
6332,1491
6343,1491
6354,1491
6367,1491
6378,1491
6389,1491
6401,1491
6412,1491
6423,1491
6435,1491
6447,1491
6458,1491
6469,1491
6480,1491
6493,1491
6504,1491
6515,1491
6526,1491
6538,1491
6549,1491
6561,1491
6573,1491
6584,1491
6595,1491
6606,1491
6618,1491
6630,1491
6641,1491
6652,1491
6664,1491
6675,1491
6686,1491
6699,1491
6710,1491
6721,1491
6732,1491
6744,1491
6755,1491
6767,1491
6778,1491
6790,1491
6801,1491
6812,1491
6823,1491
6836,1491
6847,1491
6858,1491
6870,1491
6881,1491
6893,1491
6904,1491
6916,1491
6927,1491
6938,1491
6949,1491
6962,1491
6973,1491
6984,1491
6995,1491
7007,1491
7018,1491
7030,1491
7042,1491
7053,1491
7064,1491
7075,1491
7087,1491
7099,1491
7110,1491
7121,1491
7133,1491
7144,1491
7155,1491
7168,1491
7179,1491
7190,1491
7201,1491
7213,1491
7225,1491
7236,1491
7247,1491
7259,1491
7270,1491
7281,1491
7293,1491
7305,1491
7316,1491
7327,1491
7339,1491
7350,1491
7362,1491
7373,1491
7385,1491
7396,1491
7407,1491
7419,1491
7431,1491
7442,1491
7453,1491
7464,1491
7476,1491
7487,1491
7499,1491
7511,1491
7522,1491
7533,1491
7544,1491
7556,1491
7568,1491
7579,1491
7590,1491
7602,1491
7613,1491
7625,1491
7636,1491
7648,1491
7659,1491
7670,1491
7682,1491
7694,1491
7705,1491
7716,1491
7728,1491
7739,1491
7750,1491
7762,1491
7774,1491
7785,1491
7796,1491
7808,1491
7819,1491
7831,1491
7842,1491
7854,1491
7865,1491
7876,1491
7887,1491
7900,1491
7911,1491
7922,1491
7933,1491
7945,1491
7957,1491
7968,1491
7980,1491
7991,1491
8002,1491
8013,1491
8026,1491
8037,1491
8048,1491
8059,1491
8071,1491
8082,1491
8094,1491
8105,1491
8117,1491
8128,1491
8139,1491
8151,1491
8163,1491
8174,1491
8185,1491
8197,1491
8208,1491
8219,1491
8231,1491
8243,1491
8254,1491
8265,1491
8276,1491
8288,1491
8300,1491
8311,1491
8323,1491
8334,1491
8345,1491
8357,1491
8369,1491
8380,1491
8391,1491
8402,1491
8414,1491
8426,1491
8437,1491
8449,1491
8460,1491
8471,1491
8482,1491
8495,1491
8506,1491
8517,1491
8528,1491
8540,1491
8552,1491
8563,1491
8574,1491
8586,1491
8597,1491
8608,1491
8620,1491
8632,1491
8643,1491
8654,1491
8666,1491
8677,1491
8689,1491
8700,1491
8712,1491
8723,1491
8734,1491
8745,1491
8758,1491
8769,1491
8780,1491
8792,1491
8803,1491
8814,1491
8826,1491
8838,1491
8849,1491
8860,1491
8871,1491
8883,1491
8895,1491
8906,1491
8918,1491
8929,1491
8940,1491
8951,1491
8964,1491
8975,1491
8986,1491
8997,1491
9009,1491
9020,1491
9032,1491
9043,1491
9055,1491
9066,1491
9077,1491
9090,1491
9101,1491
9112,1491
9123,1491
9135,1491
9146,1491
9158,1491
9169,1491
9181,1491
9192,1491
9203,1491
9214,1491
9227,1491
9238,1491
9249,1491
9261,1491
9272,1491
9283,1491
9295,1491
9307,1491
9318,1491
9329,1491
9340,1491
9352,1491
9364,1491
9375,1491
9387,1491
9398,1491
9409,1491
9421,1491
9433,1491
9444,1491
9455,1491
9466,1491
9478,1491
9490,1491
9501,1491
9512,1491
9524,1491
9535,1491
9546,1491
9559,1491
9570,1491
9581,1491
9592,1491
9604,1491
9615,1491
9627,1491
9638,1491
9650,1491
9661,1491
9672,1491
9684,1491
9696,1491
9707,1491
9718,1491
9730,1491
9741,1491
9752,1491
9764,1491
9776,1491
9787,1491
9798,1491
9809,1491
9822,1491
9833,1491
9844,1491
9856,1491
9867,1491
9878,1491
9890,1491
9902,1491
9913,1491
9924,1491
