,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
1,0
2,0
2,0
2,0
2,0
2,0
5,0
10,0
16,0
22,1
28,1
34,3
41,4
48,5
54,7
60,8
66,10
73,13
80,15
88,18
95,21
103,25
111,29
119,34
128,39
136,44
144,49
152,55
160,61
168,67
178,74
186,81
194,88
202,95
210,102
220,111
229,120
239,129
248,138
258,147
267,157
276,167
285,177
294,187
305,198
314,209
323,219
332,230
342,241
351,253
360,264
370,276
379,288
389,300
398,312
407,324
416,337
425,349
435,362
445,375
454,388
463,401
473,414
482,427
491,440
500,454
510,467
520,481
529,495
538,508
547,522
557,536
566,550
576,564
585,578
594,593
604,607
613,621
622,636
631,650
642,665
651,680
660,694
669,709
678,724
688,739
697,754
707,769
716,784
726,799
735,814
744,828
753,843
762,857
773,871
782,885
791,899
800,912
809,926
819,939
828,952
838,964
847,977
857,989
866,1002
876,1015
886,1028
897,1041
908,1054
918,1066
928,1079
939,1091
949,1102
959,1114
970,1126
980,1137
991,1148
1001,1159
1012,1170
1024,1182
1036,1193
1047,1204
1058,1215
1070,1226
1081,1236
1092,1246
1104,1256
1116,1266
1127,1275
1138,1285
1149,1294
1161,1302
1173,1311
1184,1319
1196,1328
1207,1336
1218,1344
1229,1351
1242,1359
1253,1366
1264,1373
1275,1380
1287,1387
1298,1393
1310,1400
1321,1406
1333,1412
1344,1418
1355,1423
1368,1429
1379,1434
1390,1439
1401,1444
1413,1449
1424,1454
1436,1458
1447,1463
1459,1467
1470,1471
1481,1475
1492,1479
1505,1482
1516,1486
1527,1489
1539,1492
1550,1495
1561,1498
1573,1501
1585,1503
1596,1506
1607,1508
1618,1510
1630,1512
1642,1514
1653,1516
1665,1517
1676,1517
1687,1515
1698,1514
1711,1511
1722,1508
1733,1504
1744,1500
1756,1494
1768,1489
1779,1485
1790,1480
1802,1475
1813,1471
1824,1467
1837,1463
1848,1459
1859,1455
1870,1453
1882,1451
1893,1450
1905,1450
1916,1451
1928,1452
1939,1454
1950,1457
1963,1461
1974,1465
1985,1469
1996,1472
2008,1476
2019,1480
2030,1483
2042,1486
2054,1489
2065,1493
2076,1495
2087,1498
2100,1501
2111,1503
2122,1506
2134,1508
2145,1510
2156,1512
2168,1514
2180,1515
2191,1516
2202,1516
2213,1515
2225,1514
2237,1513
2248,1511
2259,1509
2271,1507
2282,1505
2293,1503
2306,1501
2317,1499
2328,1497
2339,1496
2351,1494
2362,1493
2374,1492
2385,1491
2397,1491
2408,1490
2419,1490
2430,1490
2443,1490
2454,1490
2465,1490
2477,1491
2488,1491
2500,1491
2511,1491
2523,1491
2534,1491
2545,1491
2556,1491
2569,1491
2580,1491
2591,1491
2603,1491
