,1.26,1.26
1179,-2.00,-2.00
1184,-2.00,-2.00
1189,-2.00,-2.00
1193,-2.00,-2.00
1199,-2.00,-2.00
1203,-2.00,-2.00
1208,-2.00,-2.00
1212,-2.00,-2.00
1217,-2.00,-2.00
1221,-2.00,-2.00
1226,-2.00,-2.00
1231,-2.00,-2.00
1235,-2.00,-2.00
1241,-2.00,-2.00
1245,-1.86,-1.86
1250,-1.68,-1.68
1255,-1.53,-1.53
1259,-1.31,-1.31
1264,-1.03,-1.03
1268,-0.76,-0.76
1273,-0.40,-0.40
1277,-0.02,-0.02
1283,0.29,0.29
1287,0.71,0.71
1291,1.07,1.07
1295,1.46,1.46
1299,1.81,1.81
1303,2.00,2.00
1307,2.00,2.00
1311,2.00,2.00
1315,2.00,2.00
1319,2.00,2.00
1325,2.00,2.00
1329,2.00,2.00
1333,2.00,2.00
1337,2.00,2.00
1341,2.00,2.00
1345,2.00,2.00
1349,2.00,2.00
1353,2.00,2.00
1357,1.90,1.90
1361,1.70,1.70
1366,1.44,1.44
1370,1.28,1.28
1374,1.16,1.16
1378,1.08,1.08
1382,1.04,1.04
1386,1.05,1.05
1391,1.10,1.10
1395,1.17,1.17
1399,1.23,1.23
1403,1.27,1.27
1408,1.31,1.31
1412,1.35,1.35
1416,1.41,1.41
1420,1.48,1.48
1424,1.53,1.53
1428,1.56,1.56
1432,1.57,1.57
1436,1.53,1.53
1440,1.46,1.46
1444,1.31,1.31
1448,1.14,1.14
1453,0.96,0.96
1458,0.82,0.82
1462,0.71,0.71
1466,0.57,0.57
1470,0.36,0.36
1474,0.20,0.20
1478,0.04,0.04
1482,-0.11,-0.11
1486,-0.29,-0.29
1491,-0.42,-0.42
1497,-0.59,-0.59
1501,-0.70,-0.70
1506,-0.89,-0.89
1510,-1.18,-1.18
1515,-1.43,-1.43
1519,-1.63,-1.63
1524,-1.84,-1.84
1529,-2.00,-2.00
1533,-2.00,-2.00
1539,-2.00,-2.00
1543,-2.00,-2.00
1548,-2.00,-2.00
1552,-2.00,-2.00
1557,-2.00,-2.00
1562,-2.00,-2.00
1566,-2.00,-2.00
1571,-2.00,-2.00
1575,-2.00,-2.00
1581,-2.00,-2.00
1585,-2.00,-2.00
1590,-1.93,-1.93
1595,-1.78,-1.78
1599,-1.65,-1.65
1604,-1.60,-1.60
1608,-1.61,-1.61
1613,-1.67,-1.67
1617,-1.74,-1.74
1623,-1.81,-1.81
1628,-1.88,-1.88
1632,-1.94,-1.94
1637,-1.98,-1.98
1641,-2.00,-2.00
1646,-2.00,-2.00
1650,-2.00,-2.00
1655,-2.00,-2.00
1660,-2.00,-2.00
1665,-2.00,-2.00
1670,-2.00,-2.00
1674,-2.00,-2.00
1679,-2.00,-2.00
1683,-2.00,-2.00
1688,-1.92,-1.92
1693,-1.79,-1.79
1697,-1.66,-1.66
1702,-1.50,-1.50
1707,-1.32,-1.32
1712,-1.16,-1.16
1716,-0.91,-0.91
1721,-0.61,-0.61
1726,-0.35,-0.35
1730,-0.00,-0.00
1735,0.31,0.31
1739,0.55,0.55
1743,0.80,0.80
1747,1.04,1.04
1752,1.25,1.25
1756,1.43,1.43
1760,1.65,1.65
1764,1.80,1.80
1768,1.93,1.93
1772,2.00,2.00
1776,2.00,2.00
1780,2.00,2.00
1784,2.00,2.00
1789,2.00,2.00
1794,2.00,2.00
1798,2.00,2.00
1802,2.00,2.00
1806,2.00,2.00
1810,1.93,1.93
1814,1.77,1.77
1818,1.59,1.59
1822,1.42,1.42
1826,1.26,1.26
1830,1.14,1.14
1835,1.05,1.05
1839,1.03,1.03
1843,1.04,1.04
1847,1.06,1.06
1851,1.09,1.09
1856,1.12,1.12
1860,1.15,1.15
1864,1.20,1.20
1868,1.26,1.26
1872,1.31,1.31
1876,1.37,1.37
1881,1.42,1.42
1885,1.44,1.44
1889,1.43,1.43
1893,1.36,1.36
1897,1.26,1.26
