,0.00
5784,1722.00
5798,1710.00
5813,1692.00
5828,1667.00
5842,1639.00
5857,1614.00
5871,1596.00
5885,1586.00
5901,1583.00
5915,1586.00
5929,1595.00
5944,1608.00
5959,1627.00
5974,1651.00
5988,1676.00
6002,1698.00
6017,1713.00
6032,1718.00
6046,1715.00
6061,1704.00
6075,1685.00
6090,1662.00
6105,1639.00
6119,1620.00
6133,1607.00
6148,1601.00
6163,1602.00
6177,1608.00
6192,1621.00
6206,1639.00
6221,1658.00
6236,1678.00
6250,1696.00
6264,1706.00
6279,1707.00
6294,1700.00
6308,1685.00
6323,1666.00
6337,1647.00
6351,1632.00
6367,1623.00
6381,1620.00
6395,1624.00
6410,1634.00
6425,1648.00
6439,1665.00
6454,1680.00
6468,1692.00
6482,1698.00
6498,1694.00
6512,1684.00
6526,1667.00
6541,1648.00
6556,1633.00
6571,1626.00
6585,1625.00
6599,1629.00
6614,1639.00
6629,1653.00
6643,1669.00
6658,1684.00
6672,1695.00
6686,1698.00
6702,1692.00
6716,1680.00
6730,1663.00
6745,1646.00
6760,1631.00
6774,1621.00
6789,1619.00
6803,1624.00
6817,1635.00
6833,1651.00
6847,1671.00
6861,1691.00
6876,1708.00
6891,1716.00
6905,1715.00
6920,1707.00
6934,1691.00
6948,1670.00
6964,1646.00
6978,1623.00
6992,1605.00
7007,1595.00
7022,1592.00
7036,1596.00
7051,1605.00
7065,1619.00
7079,1637.00
7095,1660.00
7109,1687.00
7123,1712.00
7138,1726.00
7152,1731.00
7168,1727.00
7182,1717.00
7196,1699.00
7211,1675.00
7226,1646.00
7240,1618.00
7255,1599.00
7269,1587.00
7283,1582.00
7299,1584.00
7313,1592.00
7327,1605.00
7342,1623.00
7357,1646.00
7371,1670.00
7386,1694.00
7400,1710.00
7414,1717.00
7430,1715.00
7444,1704.00
7458,1686.00
7473,1663.00
7488,1640.00
7502,1621.00
7517,1607.00
7531,1601.00
7545,1601.00
7561,1607.00
7575,1619.00
7589,1636.00
7604,1659.00
7619,1683.00
7633,1702.00
7648,1715.00
7662,1718.00
7676,1713.00
7692,1700.00
7706,1681.00
7720,1659.00
7735,1639.00
7749,1622.00
7764,1610.00
7779,1604.00
7793,1606.00
7808,1614.00
7823,1627.00
7837,1645.00
7852,1666.00
7866,1687.00
7880,1704.00
7896,1714.00
7910,1714.00
7924,1707.00
7939,1691.00
7954,1670.00
7968,1649.00
7983,1630.00
7997,1617.00
8011,1612.00
8027,1611.00
8041,1618.00
8055,1630.00
8070,1647.00
8085,1666.00
8099,1686.00
8114,1702.00
8128,1711.00
8142,1712.00
8158,1705.00
8172,1690.00
8186,1670.00
8201,1649.00
8215,1631.00
8230,1618.00
8245,1613.00
8259,1614.00
8273,1622.00
8289,1634.00
8303,1652.00
8317,1671.00
8332,1691.00
8346,1706.00
8361,1711.00
8376,1709.00
8390,1699.00
8404,1682.00
8420,1662.00
8434,1643.00
8449,1627.00
8463,1616.00
8477,1613.00
8493,1616.00
8507,1626.00
8521,1641.00
8536,1659.00
8550,1676.00
8565,1692.00
8580,1703.00
8594,1706.00
8608,1698.00
8624,1683.00
8638,1665.00
8652,1647.00
8667,1632.00
8681,1622.00
8696,1619.00
8711,1624.00
8725,1634.00
8739,1648.00
8755,1664.00
8769,1680.00
8783,1692.00
8798,1699.00
8812,1699.00
8827,1690.00
8842,1675.00
8856,1656.00
8870,1639.00
8886,1627.00
8900,1620.00
8914,1621.00
8929,1628.00
8943,1640.00
8958,1657.00
8973,1675.00
8987,1690.00
9001,1698.00
9017,1697.00
9031,1689.00
9046,1674.00
9060,1656.00
9074,1638.00
9090,1625.00
9104,1618.00
9118,1618.00
9133,1625.00
9147,1637.00
9162,1654.00
9177,1675.00
9191,1696.00
9205,1709.00
9221,1714.00
9235,1711.00
9249,1700.00
9264,1682.00
9278,1659.00
9293,1636.00
9308,1616.00
9322,1604.00
9336,1598.00
9352,1599.00
9366,1606.00
9380,1618.00
9395,1634.00
9409,1655.00
9424,1681.00
9439,1702.00
9453,1713.00
9467,1715.00
9482,1710.00
9497,1697.00
9511,1677.00
9526,1651.00
9540,1626.00
9555,1609.00
9570,1599.00
9584,1595.00
9598,1599.00
9613,1609.00
9628,1623.00
9643,1643.00
9657,1666.00
9671,1689.00
9687,1705.00
9701,1712.00
9715,1712.00
9730,1703.00
9744,1688.00
9759,1666.00
9774,1643.00
9788,1624.00
9802,1612.00
9818,1608.00
9832,1611.00
9846,1619.00
9861,1633.00
9875,1653.00
9890,1675.00
9905,1695.00
9919,1707.00
