,0
100,24
200,92
301,191
401,311
501,447
602,594
702,751
802,900
903,1027
1003,1135
1104,1226
1205,1299
1305,1357
1405,1402
1506,1434
1606,1455
1708,1466
1808,1466
1908,1468
2009,1474
2109,1474
2209,1475
2310,1475
2411,1477
2511,1476
2612,1476
2712,1476
2812,1476
2913,1476
3013,1476
3115,1476
3215,1476
3315,1476
3416,1476
3516,1476
3616,1476
3717,1476
3818,1476
3918,1476
4019,1476
4119,1476
4219,1476
4320,1476
4420,1476
4520,1476
4622,1476
4722,1476
4823,1476
4923,1476
5023,1476
5124,1476
5224,1476
5325,1476
5426,1476
5526,1476
5626,1476
5727,1476
5827,1476
5927,1476
6029,1476
6129,1476
6230,1476
6330,1476
6430,1476
6531,1476
6631,1476
6732,1476
6833,1476
6933,1476
7033,1476
7134,1476
7234,1476
7334,1476
7436,1476
7536,1476
7636,1476
7737,1476
7837,1476
7938,1476
8038,1476
8139,1476
8240,1476
8340,1476
8440,1476
8541,1476
8641,1476
8741,1476
8843,1476
8943,1476
9043,1476
9144,1476
9244,1476
9345,1476
9445,1476
9545,1476
9647,1476
9747,1476
9847,1476
9948,1476
10048,1476
