13,2,0.1
14,2,0.12
16,2,0.14
18,2,0.16
20,2,0.18
22,2,0.2
25,2,0.22
28,2,0.24
32,2,0.26
35,2,0.28
39,1.87,0.3
43,1.7,0.32
47,1.5,0.33
50,1.32,0.34
54,1.08,0.35
58,0.83,0.36
61,0.64,0.37
65,0.41,0.37
68,0.22,0.38
72,0.13,0.38
75,0.05,0.38
79,-0.01,0.38
83,-0.04,0.38
88,-0.06,0.38
91,-0.06,0.38
95,-0.04,0.38
99,0,0.38
103,0.02,0.38
106,0.04,0.38
110,0.01,0.38
114,-0.05,0.38
118,-0.1,0.37
122,-0.19,0.37
126,-0.24,0.37
131,-0.36,0.37
135,-0.45,0.36
139,-0.61,0.36
143,-0.75,0.35
147,-0.9,0.34
151,-1.01,0.33
156,-1.06,0.32
160,-1.05,0.31
164,-1.01,0.3
168,-0.97,0.29
173,-0.92,0.28
177,-0.91,0.27
181,-1.03,0.26
185,-1.15,0.25
189,-1.25,0.24
193,-1.34,0.22
197,-1.49,0.21
201,-1.62,0.19
205,-1.69,0.17
209,-1.73,0.16
214,-1.76,0.14
218,-1.75,0.12
223,-1.69,0.11
227,-1.56,0.09
231,-1.39,0.08
235,-1.24,0.06
239,-1.14,0.05
243,-1.12,0.04
247,-1.23,0.03
251,-1.43,0.01
256,-1.64,0
260,-1.87,-0.02
265,-2,-0.04
269,-2,-0.06
273,-2,-0.08
278,-2,-0.1
282,-2,-0.12
286,-2,-0.14
291,-2,-0.16
295,-2,-0.18
300,-2,-0.2
305,-2,-0.22
309,-2,-0.24
313,-2,-0.26
317,-2,-0.28
322,-2,-0.3
326,-2,-0.32
330,-1.76,-0.34
335,-1.57,-0.35
339,-1.31,-0.37
344,-1.09,-0.38
349,-0.91,-0.39
353,-0.79,-0.4
357,-0.64,-0.4
362,-0.47,-0.41
366,-0.36,-0.41
370,-0.32,-0.41
375,-0.33,-0.42
379,-0.35,-0.42
384,-0.27,-0.42
389,-0.2,-0.42
393,-0.12,-0.43
397,-0.01,-0.45
401,0.17,-0.46
406,0.33,-0.48
410,0.5,-0.5
414,0.7,-0.51
418,0.91,-0.52
422,1.16,-0.53
427,1.34,-0.53
431,1.3,-0.54
435,1.34,-0.55
439,1.27,-0.56
443,1.22,-0.56
447,1.08,-0.57
451,0.96,-0.58
455,0.98,-0.59
459,0.93,-0.6
463,0.9,-0.61
467,0.93,-0.61
473,1,-0.61
477,1.11,-0.61
481,1.26,-0.6
485,1.41,-0.59
489,1.54,-0.58
493,1.64,-0.56
497,1.65,-0.55
501,1.63,-0.53
505,1.52,-0.52
509,1.45,-0.5
514,1.41,-0.49
518,1.39,-0.47
522,1.47,-0.46
526,1.58,-0.44
530,1.69,-0.42
534,1.84,-0.41
539,1.95,-0.39
543,2,-0.37
547,2,-0.34
551,2,-0.32
556,2,-0.3
560,2,-0.27
564,2,-0.25
568,2,-0.22
572,2,-0.19
576,1.97,-0.16
580,1.89,-0.13
584,1.85,-0.1
588,1.86,-0.07
592,1.87,-0.04
596,1.87,-0.02
601,1.8,0.01
605,1.65,0.04
609,1.5,0.06
613,1.3,0.09
617,1.16,0.11
621,1,0.14
624,0.83,0.16
628,0.71,0.19
632,0.57,0.21
636,0.41,0.23
641,0.29,0.25
644,0.18,0.27
648,0.07,0.29
652,-0.01,0.3
656,-0.06,0.31
660,-0.07,0.32
664,-0.06,0.33
668,-0.02,0.35
672,0,0.36
676,-0.03,0.38
680,-0.07,0.4
685,-0.11,0.41
689,-0.22,0.43
693,-0.22,0.45
697,-0.32,0.47
702,-0.46,0.48
706,-0.52,0.5
710,-0.56,0.51
714,-0.58,0.53
718,-0.65,0.54
722,-0.73,0.55
727,-0.85,0.56
731,-0.95,0.57
735,-0.99,0.58
739,-1.02,0.59
743,-1.07,0.6
747,-1.14,0.61
751,-1.18,0.61
755,-1.2,0.61
759,-1.24,0.61
763,-1.3,0.61
769,-1.39,0.6
773,-1.46,0.59
777,-1.55,0.58
781,-1.68,0.57
785,-1.79,0.56
789,-1.87,0.54
793,-1.93,0.52
797,-1.99,0.51
801,-2,0.49
805,-2,0.47
809,-2,0.45
814,-2,0.43
818,-2,0.41
822,-2,0.38
826,-2,0.35
830,-2,0.32
834,-2,0.29
839,-2,0.26
843,-2,0.23
847,-1.97,0.19
851,-1.82,0.16
856,-1.73,0.13
860,-1.73,0.1
864,-1.83,0.08
868,-1.97,0.05
872,-2,0.02
876,-2,-0.01
880,-2,-0.04
885,-2,-0.07
889,-2,-0.1
893,-2,-0.13
899,-2,-0.17
903,-1.97,-0.2
907,-1.84,-0.24
912,-1.69,-0.27
916,-1.55,-0.3
920,-1.36,-0.33
925,-1.12,-0.36
929,-0.89,-0.38
933,-0.6,-0.4
939,-0.45,-0.42
943,-0.3,-0.44
947,-0.09,-0.46
952,0.11,-0.47
956,0.3,-0.49
960,0.44,-0.51
964,0.53,-0.52
968,0.57,-0.53
972,0.67,-0.55
976,0.75,-0.56
980,0.9,-0.57
985,1.1,-0.58
989,1.22,-0.59
993,1.36,-0.59
997,1.46,-0.6
1001,1.48,-0.6
1006,1.4,-0.61
1010,1.35,-0.61
1014,1.32,-0.62
1019,1.28,-0.62
1024,1.3,-0.63
1028,1.3,-0.63
1032,1.34,-0.63
1037,1.39,-0.63
1041,1.46,-0.62
1045,1.53,-0.61
1050,1.6,-0.61
1054,1.7,-0.59
1058,1.84,-0.58
1063,1.93,-0.56
1068,1.96,-0.55
1072,1.92,-0.53
1077,1.83,-0.51
1081,1.76,-0.49
1085,1.74,-0.47
1090,1.73,-0.45
1094,1.71,-0.44
1098,1.76,-0.42
1103,1.9,-0.4
1107,2,-0.38
1112,2,-0.36
1116,2,-0.34
1121,2,-0.31
1125,1.96,-0.29
1129,1.76,-0.27
1134,1.53,-0.25
1138,1.41,-0.23
1142,1.31,-0.21
1147,1.28,-0.19
1152,1.29,-0.17
1156,1.26,-0.15
1161,1.16,-0.13
1165,1,-0.11
1169,0.87,-0.09
1174,0.76,-0.07
1178,0.61,-0.05
1182,0.4,-0.04
1187,0.25,-0.02
1191,0.15,-0.01
1196,-0.03,0
1200,-0.12,0.02
1205,-0.17,0.03
1209,-0.22,0.04
1213,-0.23,0.06
1218,-0.26,0.07
1222,-0.34,0.09
1226,-0.46,0.1
1231,-0.49,0.12
