,0
2180,1473
2191,1473
2202,1473
2213,1473
2225,1473
2237,1473
2248,1473
2259,1473
2271,1473
2282,1473
2293,1473
2306,1473
2317,1473
2328,1474
2339,1474
2351,1474
2362,1474
2374,1474
2385,1474
2397,1474
2408,1474
2419,1474
2430,1474
2443,1474
2454,1474
2465,1474
2477,1474
2488,1474
2499,1474
2511,1474
2523,1474
2534,1474
2545,1474
2556,1474
2569,1474
2580,1474
2591,1474
2603,1474
2614,1474
2625,1474
2637,1474
2649,1474
2660,1474
2671,1474
2682,1474
2694,1474
2706,1474
2717,1474
2728,1474
2740,1474
2751,1474
2762,1474
2775,1474
2786,1474
2797,1474
2808,1474
2820,1474
2831,1474
2843,1474
2854,1474
2866,1474
2877,1474
2888,1474
2900,1474
2912,1474
2923,1474
2934,1474
2946,1474
2957,1474
2969,1474
2980,1474
2992,1474
3003,1474
3014,1474
3025,1474
3038,1474
3049,1474
3060,1474
3072,1474
3083,1474
3095,1474
3106,1474
3118,1475
3129,1475
3140,1475
3151,1476
3163,1476
3175,1476
3186,1477
3197,1477
3209,1478
3220,1478
3231,1478
3244,1478
3255,1478
3266,1478
3277,1478
3289,1478
3301,1478
3312,1478
3323,1478
3335,1478
3346,1478
3357,1478
3369,1478
3381,1478
3392,1479
3403,1479
3415,1479
3426,1479
3438,1479
3449,1479
3461,1479
3472,1479
3483,1479
3494,1479
3507,1479
3518,1479
3529,1479
3540,1479
3552,1479
3563,1479
3575,1479
3587,1479
3598,1479
3609,1479
3620,1479
3633,1479
3644,1479
3655,1479
3666,1479
3678,1479
3689,1479
3701,1479
3713,1479
3724,1479
3735,1479
3746,1479
3758,1479
3770,1479
3781,1479
3792,1479
3804,1479
3815,1479
3826,1479
3838,1479
3850,1479
3861,1479
3872,1479
3884,1479
3895,1479
3907,1479
3918,1479
3930,1479
3941,1479
3952,1479
3963,1479
3976,1479
3987,1479
3998,1479
4009,1479
4021,1479
4033,1479
4044,1479
4056,1479
4067,1479
4078,1479
4089,1479
4102,1479
4113,1479
4124,1479
4135,1479
4147,1479
4158,1479
4170,1479
4182,1479
4193,1479
4204,1479
4215,1479
4228,1479
4239,1479
4250,1479
4261,1479
4273,1479
4284,1479
4295,1479
4307,1479
4319,1479
4330,1479
4341,1479
4353,1479
4365,1479
4376,1479
4387,1479
4399,1479
4410,1479
4421,1479
4433,1479
4445,1479
4456,1479
4467,1479
4478,1479
4490,1479
4502,1479
4513,1479
4525,1479
4536,1479
4547,1479
4558,1479
4571,1479
4582,1479
4593,1479
4604,1479
4616,1479
4627,1479
4639,1479
4651,1479
4662,1479
4673,1479
4684,1479
4696,1479
4708,1479
4719,1479
4730,1479
4742,1479
4753,1479
4765,1479
4776,1479
4788,1479
4799,1479
4810,1479
4822,1479
4834,1479
4845,1479
4856,1479
4868,1479
4879,1479
4890,1479
4902,1479
4914,1479
4925,1479
4936,1479
4947,1479
4959,1479
4971,1479
4982,1479
4994,1479
5005,1479
5016,1479
5027,1479
5040,1479
5051,1479
5062,1479
5073,1479
5085,1479
5097,1479
5108,1479
5120,1479
5131,1479
5142,1479
5153,1479
5166,1479
5177,1479
5188,1479
5199,1479
5211,1479
5222,1479
5234,1479
5245,1479
5257,1479
5268,1479
5279,1479
5291,1479
5303,1479
5314,1479
5325,1479
5337,1479
5348,1479
5360,1479
5371,1479
5383,1479
5394,1479
5405,1479
5416,1479
5428,1479
5440,1479
5451,1479
5463,1479
5474,1479
5485,1479
5497,1479
5509,1479
5520,1479
5531,1479
5542,1479
5554,1479
5566,1479
5577,1479
5588,1479
5600,1479
5611,1479
5622,1479
5635,1479
5646,1479
5657,1479
5668,1479
5680,1479
5691,1479
5703,1479
5714,1479
5726,1479
5737,1479
5748,1479
5760,1479
5772,1479
5783,1479
5794,1479
5806,1479
5817,1479
5829,1479
5840,1479
5852,1479
5863,1479
5874,1479
5885,1479
5898,1479
5909,1479
5920,1479
5932,1479
5943,1479
5954,1479
5966,1479
5978,1479
5989,1479
6000,1479
6011,1479
6023,1479
6035,1479
6046,1479
6057,1479
6069,1479
6080,1479
6091,1479
6104,1479
6115,1479
6126,1479
6137,1479
6149,1479
6160,1479
6172,1479
6183,1479
6195,1479
6206,1479
6217,1479
6230,1479
6241,1479
6252,1479
6263,1479
6275,1479
6286,1479
6298,1479
6309,1479
6321,1479
6332,1479
6343,1479
6354,1479
6367,1479
6378,1479
6389,1479
6401,1479
6412,1479
6423,1479
6435,1479
6447,1479
6458,1479
6469,1479
6480,1479
6493,1479
6504,1479
6515,1479
6526,1479
6538,1479
6549,1479
6561,1479
6573,1479
6584,1479
6595,1479
6606,1479
6618,1479
6630,1479
6641,1479
6652,1479
6664,1479
6675,1479
6686,1479
6699,1479
6710,1479
6721,1479
6732,1479
6744,1479
6755,1479
6767,1479
6778,1479
6790,1479
6801,1479
6812,1479
6823,1479
6836,1479
6847,1479
6858,1479
6870,1479
6881,1479
6892,1479
6904,1479
6916,1479
6927,1479
6938,1479
6949,1479
6962,1479
6973,1479
6984,1479
6995,1479
7007,1479
7018,1479
7030,1479
7042,1479
7053,1479
7064,1479
7075,1479
7087,1479
7099,1479
7110,1479
7121,1479
7133,1479
7144,1479
7155,1479
7168,1479
7179,1479
7190,1479
7201,1479
7213,1479
7224,1479
7236,1479
7247,1479
7259,1479
7270,1479
7281,1479
7293,1479
7305,1479
7316,1479
7327,1479
7339,1479
7350,1479
7362,1479
7373,1479
7385,1479
7396,1479
7407,1479
7418,1479
7431,1479
7442,1479
7453,1479
7464,1479
7476,1479
7487,1479
7499,1479
7511,1479
7522,1479
7533,1479
7544,1479
7556,1479
7568,1479
7579,1479
7590,1479
7602,1479
7613,1479
7625,1479
7636,1479
7648,1479
7659,1479
7670,1479
7682,1479
7694,1479
7705,1479
7716,1479
7728,1479
7739,1479
7750,1479
7762,1479
7774,1479
7785,1479
7796,1479
7808,1479
7819,1479
7831,1479
7842,1479
7854,1479
7865,1479
7876,1479
7887,1479
7900,1479
7911,1479
7922,1479
7933,1479
7945,1479
7956,1479
7968,1479
7980,1479
7991,1479
8002,1479
8013,1479
8026,1479
8037,1479
8048,1479
8059,1479
8071,1479
8082,1479
8094,1479
8105,1479
8117,1479
8128,1479
8139,1479
8151,1479
8163,1479
8174,1479
8185,1479
8197,1479
8208,1479
8219,1479
8231,1479
8243,1479
8254,1479
8265,1479
8276,1479
8288,1479
8300,1479
8311,1479
8323,1479
8334,1479
8345,1479
8356,1479
8369,1479
8380,1479
8391,1479
8402,1479
8414,1479
8426,1479
8437,1479
8449,1479
8460,1479
8471,1479
8482,1479
8495,1479
8506,1479
8517,1479
8528,1479
8540,1479
8551,1479
8563,1479
8574,1479
8586,1479
8597,1479
8608,1479
8620,1479
8632,1479
8643,1479
8654,1479
8666,1479
8677,1479
8688,1479
8700,1479
8712,1479
8723,1479
8734,1479
8745,1479
8758,1479
8769,1479
8780,1479
8792,1479
8803,1479
8814,1479
8826,1479
8838,1479
8849,1479
8860,1479
8871,1479
8883,1479
8895,1479
8906,1479
8918,1479
8929,1479
8940,1479
8951,1479
8964,1479
8975,1479
8986,1479
8997,1479
9009,1479
9020,1479
9032,1479
9043,1479
9055,1479
9066,1479
9077,1479
9089,1479
9101,1479
9112,1479
9123,1479
9135,1479
9146,1479
9158,1479
9169,1479
9181,1479
9192,1479
9203,1479
9214,1479
9227,1479
9238,1479
9249,1479
9261,1479
9272,1479
9283,1479
9295,1479
9307,1479
9318,1479
9329,1479
9340,1479
9352,1479
9364,1479
9375,1479
9387,1479
9398,1479
9409,1479
9420,1479
9433,1479
9444,1479
9455,1479
9466,1479
9478,1479
9490,1479
9501,1479
9512,1479
9524,1479
9535,1479
9546,1479
9559,1479
9570,1479
9581,1479
9592,1479
9604,1479
9615,1479
9627,1479
9638,1479
9650,1479
9661,1479
9672,1479
9684,1479
9696,1479
9707,1479
9718,1479
9730,1479
9741,1479
9752,1479
9764,1479
9776,1479
9787,1479
9798,1479
9809,1479
9821,1479
9833,1479
9844,1479
9856,1479
9867,1479
9878,1479
9890,1479
9902,1479
9913,1479
9924,1479
