,0
1,0
2,0
3,0
4,0
6,0
7,0
8,0
9,0
10,1
12,1
13,1
14,1
15,1
17,1
18,1
23,2
29,3
35,4
43,5
49,7
55,8
61,10
68,12
75,15
82,18
90,21
97,24
105,28
113,32
121,37
130,42
138,47
146,53
154,59
162,65
171,71
180,78
188,85
196,92
204,99
212,107
222,115
231,124
241,133
250,143
260,152
269,162
278,172
287,181
296,192
307,202
316,212
325,223
334,234
344,245
353,256
362,267
372,278
381,290
391,302
400,313
409,325
418,337
428,349
438,362
447,374
456,386
465,399
475,412
484,425
493,438
502,451
513,464
522,477
531,490
540,504
549,517
559,531
568,544
578,558
587,572
596,585
606,599
615,613
624,627
633,641
644,656
653,670
662,684
671,699
680,713
690,727
699,742
709,756
718,771
728,785
737,800
746,814
755,827
764,841
775,854
784,868
793,881
802,893
812,906
821,919
830,931
840,943
849,955
859,967
868,978
877,990
886,1001
897,1013
908,1025
918,1037
928,1049
939,1060
949,1072
959,1083
970,1093
980,1104
991,1114
1001,1125
1012,1136
1024,1147
1036,1157
1047,1167
1058,1178
1070,1188
1081,1197
1092,1207
1104,1216
1116,1225
1127,1234
1138,1243
1149,1251
1161,1259
1173,1267
1184,1275
1196,1283
1207,1290
1218,1297
1229,1304
1242,1311
1253,1318
1264,1324
1275,1331
1287,1337
1298,1343
1310,1348
1321,1354
1333,1359
1344,1365
1355,1370
1367,1375
1379,1379
1390,1384
1401,1389
1413,1393
1424,1397
1436,1401
1447,1405
1459,1408
1470,1412
1481,1415
1492,1418
1505,1421
1516,1424
1527,1427
1539,1430
1550,1432
1561,1435
1573,1437
1585,1439
1596,1441
1607,1443
1618,1444
1630,1446
1642,1447
1653,1448
1665,1450
1676,1451
1687,1452
1698,1452
1711,1453
1722,1453
1733,1454
1744,1454
1756,1454
1767,1454
1779,1454
1790,1454
1802,1454
1813,1454
1824,1454
1837,1454
1848,1454
1859,1454
1870,1454
1882,1454
1893,1455
1905,1455
1916,1456
1928,1457
1939,1458
1950,1460
1963,1462
1974,1463
1985,1465
1996,1466
2008,1467
2019,1468
2030,1469
2042,1470
2054,1471
2065,1471
2076,1472
2087,1472
2099,1472
2111,1473
2122,1473
2134,1473
2145,1473
2156,1473
2168,1473
