,-2.00,-2.00
7,-2.00,-2.00
9,-2.00,-2.00
11,-2.00,-2.00
12,-2.00,-2.00
14,-2.00,-2.00
15,-2.00,-2.00
18,-2.00,-2.00
22,-2.00,-2.00
27,-2.00,-2.00
31,-2.00,-2.00
35,-2.00,-2.00
39,-2.00,-2.00
44,-2.00,-2.00
48,-2.00,-2.00
52,-2.00,-2.00
56,-2.00,-2.00
60,-2.00,-2.00
64,-2.00,-2.00
68,-2.00,-2.00
72,-2.00,-2.00
76,-1.99,-1.99
80,-1.91,-1.91
84,-1.82,-1.82
89,-1.68,-1.68
94,-1.57,-1.57
98,-1.45,-1.45
102,-1.30,-1.30
106,-1.10,-1.10
110,-0.92,-0.92
115,-0.74,-0.74
119,-0.50,-0.50
123,-0.30,-0.30
129,-0.06,-0.06
133,0.13,0.13
137,0.33,0.33
141,0.52,0.52
144,0.70,0.70
148,0.87,0.87
152,1.03,1.03
156,1.14,1.14
160,1.27,1.27
163,1.40,1.40
167,1.51,1.51
172,1.61,1.61
176,1.69,1.69
180,1.76,1.76
183,1.82,1.82
187,1.85,1.85
191,1.88,1.88
195,1.89,1.89
199,1.89,1.89
202,1.88,1.88
206,1.86,1.86
210,1.83,1.83
215,1.79,1.79
219,1.75,1.75
222,1.70,1.70
226,1.65,1.65
230,1.59,1.59
234,1.55,1.55
238,1.50,1.50
242,1.46,1.46
245,1.42,1.42
249,1.38,1.38
253,1.33,1.33
258,1.28,1.28
262,1.23,1.23
265,1.17,1.17
269,1.11,1.11
273,1.06,1.06
277,0.98,0.98
281,0.90,0.90
284,0.81,0.81
288,0.70,0.70
292,0.58,0.58
296,0.45,0.45
301,0.32,0.32
304,0.19,0.19
308,0.04,0.04
312,-0.05,-0.05
316,-0.21,-0.21
321,-0.33,-0.33
325,-0.48,-0.48
329,-0.59,-0.59
334,-0.73,-0.73
338,-0.84,-0.84
343,-0.94,-0.94
348,-1.06,-1.06
352,-1.14,-1.14
356,-1.24,-1.24
361,-1.31,-1.31
365,-1.38,-1.38
369,-1.47,-1.47
374,-1.54,-1.54
378,-1.64,-1.64
382,-1.72,-1.72
387,-1.82,-1.82
392,-1.88,-1.88
396,-1.94,-1.94
400,-1.99,-1.99
405,-2.00,-2.00
409,-2.00,-2.00
413,-2.00,-2.00
418,-2.00,-2.00
422,-2.00,-2.00
427,-2.00,-2.00
432,-2.00,-2.00
436,-2.00,-2.00
440,-2.00,-2.00
445,-2.00,-2.00
449,-2.00,-2.00
453,-2.00,-2.00
458,-2.00,-2.00
462,-2.00,-2.00
466,-2.00,-2.00
471,-2.00,-2.00
476,-2.00,-2.00
480,-2.00,-2.00
484,-2.00,-2.00
489,-2.00,-2.00
493,-2.00,-2.00
497,-2.00,-2.00
502,-2.00,-2.00
506,-2.00,-2.00
510,-2.00,-2.00
516,-2.00,-2.00
520,-2.00,-2.00
524,-1.91,-1.91
529,-1.78,-1.78
533,-1.66,-1.66
537,-1.50,-1.50
542,-1.37,-1.37
546,-1.21,-1.21
550,-1.07,-1.07
555,-0.92,-0.92
560,-0.73,-0.73
564,-0.57,-0.57
568,-0.39,-0.39
573,-0.25,-0.25
577,-0.07,-0.07
581,0.07,0.07
585,0.21,0.21
589,0.34,0.34
593,0.47,0.47
598,0.60,0.60
601,0.69,0.69
605,0.81,0.81
609,0.92,0.92
613,1.05,1.05
617,1.17,1.17
620,1.27,1.27
624,1.37,1.37
628,1.46,1.46
632,1.54,1.54
636,1.62,1.62
641,1.67,1.67
644,1.73,1.73
648,1.78,1.78
652,1.82,1.82
656,1.84,1.84
660,1.85,1.85
663,1.84,1.84
667,1.83,1.83
671,1.80,1.80
675,1.77,1.77
679,1.74,1.74
683,1.70,1.70
687,1.65,1.65
691,1.61,1.61
695,1.56,1.56
699,1.51,1.51
702,1.46,1.46
706,1.41,1.41
710,1.36,1.36
714,1.31,1.31
718,1.26,1.26
722,1.19,1.19
726,1.12,1.12
730,1.04,1.04
734,0.96,0.96
738,0.86,0.86
742,0.75,0.75
745,0.63,0.63
749,0.49,0.49
753,0.35,0.35
757,0.25,0.25
761,0.11,0.11
764,-0.05,-0.05
770,-0.21,-0.21
774,-0.34,-0.34
778,-0.49,-0.49
783,-0.61,-0.61
787,-0.72,-0.72
791,-0.86,-0.86
796,-0.97,-0.97
800,-1.09,-1.09
804,-1.18,-1.18
809,-1.26,-1.26
814,-1.35,-1.35
818,-1.42,-1.42
823,-1.50,-1.50
827,-1.56,-1.56
831,-1.64,-1.64
835,-1.71,-1.71
840,-1.77,-1.77
844,-1.85,-1.85
848,-1.90,-1.90
854,-1.94,-1.94
858,-1.97,-1.97
862,-1.98,-1.98
867,-2.00,-2.00
871,-2.00,-2.00
875,-2.00,-2.00
880,-2.00,-2.00
884,-1.99,-1.99
888,-1.99,-1.99
893,-1.99,-1.99
898,-1.99,-1.99
902,-2.00,-2.00
907,-2.00,-2.00
911,-2.00,-2.00
915,-2.00,-2.00
919,-2.00,-2.00
924,-2.00,-2.00
928,-2.00,-2.00
932,-2.00,-2.00
937,-2.00,-2.00
942,-2.00,-2.00
946,-2.00,-2.00
951,-2.00,-2.00
955,-2.00,-2.00
959,-2.00,-2.00
964,-2.00,-2.00
968,-2.00,-2.00
972,-2.00,-2.00
977,-2.00,-2.00
982,-2.00,-2.00
986,-1.94,-1.94
991,-1.85,-1.85
995,-1.77,-1.77
999,-1.69,-1.69
