,0.21,0.21
7,0.12,0.12
9,0.05,0.05
11,0.00,0.00
12,-0.11,-0.11
14,-0.21,-0.21
15,-0.26,-0.26
17,-0.37,-0.37
20,-0.52,-0.52
25,-0.82,-0.82
29,-0.92,-0.92
33,-1.21,-1.21
37,-1.39,-1.39
41,-1.63,-1.63
46,-1.79,-1.79
50,-1.96,-1.96
54,-2.00,-2.00
58,-2.00,-2.00
62,-2.00,-2.00
66,-2.00,-2.00
70,-2.00,-2.00
74,-2.00,-2.00
78,-2.00,-2.00
82,-2.00,-2.00
87,-2.00,-2.00
92,-2.00,-2.00
96,-2.00,-2.00
100,-2.00,-2.00
104,-2.00,-2.00
108,-2.00,-2.00
113,-1.87,-1.87
117,-1.77,-1.77
121,-1.75,-1.75
126,-1.77,-1.77
131,-1.80,-1.80
135,-1.85,-1.85
140,-1.89,-1.89
144,-1.92,-1.92
148,-1.91,-1.91
152,-1.94,-1.94
157,-1.91,-1.91
161,-1.89,-1.89
165,-1.84,-1.84
171,-1.81,-1.81
175,-1.78,-1.78
179,-1.77,-1.77
184,-1.81,-1.81
188,-1.87,-1.87
192,-1.95,-1.95
197,-2.00,-2.00
201,-2.00,-2.00
205,-1.99,-1.99
210,-1.90,-1.90
215,-1.75,-1.75
219,-1.49,-1.49
224,-1.31,-1.31
228,-1.14,-1.14
232,-1.06,-1.06
236,-0.95,-0.95
241,-0.80,-0.80
245,-0.68,-0.68
249,-0.52,-0.52
254,-0.41,-0.41
259,-0.21,-0.21
263,0.04,0.04
267,0.27,0.27
271,0.52,0.52
275,0.77,0.77
279,0.98,0.98
282,1.13,1.13
286,1.32,1.32
290,1.87,1.87
294,1.83,1.83
299,2.00,2.00
302,2.00,2.00
306,2.00,2.00
310,2.00,2.00
314,2.00,2.00
318,2.00,2.00
321,2.00,2.00
325,2.00,2.00
329,2.00,2.00
333,2.00,2.00
337,2.00,2.00
342,2.00,2.00
345,1.94,1.94
349,1.69,1.69
353,1.51,1.51
357,1.37,1.37
361,1.28,1.28
364,1.21,1.21
368,1.14,1.14
372,1.08,1.08
376,1.03,1.03
380,1.00,1.00
384,1.00,1.00
388,1.02,1.02
392,1.08,1.08
396,1.13,1.13
400,1.16,1.16
403,1.19,1.19
407,1.22,1.22
411,1.24,1.24
