,0.43
5134,-0.10
5147,-0.21
5159,-0.24
5172,-0.30
5184,-0.32
5196,-0.30
5209,-0.27
5222,-0.24
5234,-0.23
5246,-0.18
5259,-0.02
5271,0.18
5283,0.55
5295,0.37
5306,0.33
5317,0.30
5328,0.23
5340,0.08
5352,0.02
5363,-0.02
5376,-0.07
5388,-0.05
5400,-0.04
5413,0.06
5425,0.17
5436,0.28
5447,0.42
5458,0.50
5470,0.53
5482,0.49
5493,0.53
5505,0.39
5516,0.31
5527,0.28
5538,0.20
5551,0.11
5562,0.05
5573,0.01
5584,-0.17
5597,-0.16
5609,-0.14
5622,-0.14
5635,-0.14
5647,-0.08
5659,-0.07
5671,-0.05
5685,0.04
5696,0.20
5707,0.27
5719,0.48
5730,0.53
5741,0.46
5753,0.36
5765,0.28
5776,0.04
5787,-0.01
5799,-0.05
5813,-0.05
5825,-0.05
5837,-0.07
5850,-0.04
5862,0.04
5873,0.12
5885,0.20
5897,0.34
5908,0.49
5919,0.50
5931,0.43
5942,0.53
5954,0.67
5965,0.68
5977,0.65
5988,0.53
5999,0.37
6011,0.24
6023,0.14
6034,0.21
6045,-0.04
6057,-0.14
6070,-0.20
6083,-0.18
6095,-0.16
6108,-0.17
6120,-0.16
6132,-0.16
6146,-0.14
6158,-0.01
6170,0.26
6181,0.08
6193,0.42
6204,0.49
6216,0.67
6227,0.52
6239,0.37
6250,0.23
6261,0.08
6273,0.02
6285,-0.08
6297,-0.13
6309,-0.08
6322,-0.07
6334,-0.02
6347,0.11
6359,0.17
6370,0.18
6381,0.34
6392,0.31
6404,0.06
6416,0.43
6427,0.46
6438,0.42
6450,0.31
6461,0.20
6472,0.09
6484,0.08
6496,-0.04
6508,-0.11
6520,-0.16
6533,-0.16
6546,-0.11
6558,-0.10
6571,-0.10
6583,-0.04
6595,0.08
6606,0.31
6619,0.23
6630,0.55
6641,0.90
6652,0.84
6664,0.77
6676,0.74
6687,0.59
6699,0.43
6710,0.17
6721,0.14
6732,0.12
6745,0.05
6756,-0.05
6768,-0.01
6780,0.09
6792,0.18
6803,0.21
6815,0.21
6827,0.17
6838,0.20
6849,0.39
6860,0.42
6872,0.36
6884,0.28
6895,0.21
6906,0.21
6918,0.17
6929,0.08
6940,0.43
6952,0.33
6964,0.36
6975,0.23
6986,0.04
6998,0.02
7010,0.11
7021,0.15
7032,0.14
7044,0.11
7055,0.09
7066,0.12
7078,0.02
7090,-0.14
7102,0.61
7113,0.58
7124,0.23
7136,0.64
7148,0.61
7159,0.55
7171,0.37
7182,0.24
7193,0.02
7204,0.09
7217,0.05
7228,0.05
7239,0.06
7250,0.08
7262,0.12
7273,0.15
7285,0.21
7297,0.30
7308,0.40
7319,0.53
7330,0.61
7343,0.31
7354,0.42
7365,0.48
7376,0.61
7388,0.64
7399,0.59
7411,0.49
7422,0.33
7434,0.40
7445,0.09
7456,0.01
7468,-0.05
7481,-0.13
7493,-0.16
7505,-0.14
7518,-0.08
7530,-0.04
7543,-0.02
7556,-0.16
7568,0.05
7579,0.62
7590,0.89
7602,0.90
7614,0.81
7625,0.74
7636,0.62
7648,0.58
7659,0.61
7670,0.50
7683,0.43
7694,0.36
7705,0.23
7716,0.31
7728,0.34
7739,0.43
7751,0.43
7762,0.48
7774,0.48
7785,0.52
7796,0.64
7809,0.70
7820,0.61
7831,0.53
7842,0.49
7854,0.43
7865,0.43
7877,0.37
7888,0.17
7900,0.11
7911,0.08
7922,0.06
7933,0.05
7946,0.08
7957,0.09
7968,0.06
7980,0.05
7991,0.08
8002,0.09
8014,0.20
8026,0.23
8037,0.34
8048,0.43
8059,0.40
8071,0.27
8083,0.08
8094,-0.02
8107,-0.04
8119,-0.11
8131,-0.18
8144,-0.20
8157,-0.20
8169,-0.14
8181,-0.08
8194,0.01
8205,0.05
8217,0.08
8228,0.24
8240,0.24
8251,0.64
8262,0.78
8274,0.83
8286,0.75
8297,0.56
8308,0.36
8320,0.18
8331,0.15
8343,0.01
8354,-0.04
8367,-0.08
8379,-0.10
8391,-0.10
8403,-0.10
8417,-0.11
8429,-0.13
8441,-0.07
8454,0.12
8465,0.34
8477,0.40
8488,0.49
8500,0.45
8511,0.30
8522,0.14
8534,0.11
8546,-0.08
8558,-0.16
8570,-0.24
8583,-0.35
8595,-0.35
8608,-0.32
8621,-0.33
8633,-0.24
8645,-0.14
8657,-0.02
8670,0.01
8682,-0.10
8694,-0.10
8707,0.30
8718,0.49
8729,0.61
8741,0.61
8753,0.49
8764,0.31
8775,-0.07
8787,0.08
8799,-0.01
8812,-0.07
8824,-0.10
8837,-0.11
8849,-0.11
8861,-0.10
8875,-0.07
8887,-0.04
8899,-0.04
8911,-0.01
8924,0.21
8935,0.45
8947,0.52
8958,0.56
8970,0.48
8981,0.27
8992,0.04
9004,0.06
9016,-0.16
9028,-0.21
9040,-0.30
9053,-0.36
9065,-0.39
9078,-0.35
9091,-0.29
9103,-0.21
9115,-0.10
9127,0.06
9140,0.17
9151,0.15
9162,0.11
9174,0.18
9185,0.34
9196,0.45
9208,0.46
9220,0.40
9231,0.27
9242,-0.05
9254,0.14
9266,-0.11
9279,-0.21
9291,-0.24
9304,-0.24
9316,-0.21
9328,-0.20
9341,-0.21
9354,-0.18
9366,-0.10
9378,0.01
9390,0.15
9401,0.28
9413,0.55
9424,0.49
9436,0.43
9447,0.42
9458,0.27
9469,0.12
9482,0.21
9493,-0.17
9505,-0.24
9518,-0.29
9530,-0.35
9543,-0.35
9555,-0.33
9568,-0.23
9580,-0.13
9592,0.04
9605,0.11
9616,0.09
9627,0.05
9638,0.24
9650,0.46
9661,0.55
9673,0.55
9684,0.42
9696,0.20
9707,0.01
9718,-0.01
9731,-0.07
9744,-0.14
9756,-0.18
9768,-0.18
9781,-0.16
9793,-0.16
9806,-0.16
9819,-0.14
9831,-0.08
9843,0.09
9854,0.26
9866,0.39
9878,0.45
9889,0.28
9901,0.27
9912,0.18
9923,0.20
9934,-0.01
9948,-0.14
9960,-0.24
9972,-0.29
9985,-0.33
9997,-0.38
10010,-0.33
10023,-0.27
10037,-0.17
10050,-0.04
10063,0.01
10077,-0.04
10090,0.04
10102,0.36
10115,0.45
10127,0.45
10140,0.30
10152,0.23
10165,-0.13
10178,0.06
10190,0.02
10204,-0.04
10217,-0.05
10230,-0.04
10244,-0.01
10257,0.05
10270,0.11
10283,0.24
10295,0.42
10307,0.53
10319,0.48
10332,0.46
10345,0.36
10357,0.23
10370,0.14
10382,0.17
10394,-0.14
10408,-0.24
10422,-0.33
10435,-0.38
10448,-0.36
10462,-0.32
10476,-0.23
10489,-0.11
10503,0.01
10515,0.05
10527,0.17
10541,0.40
10553,0.62
10565,0.72
10577,0.67
10590,0.55
10603,0.43
10615,0.33
10628,0.08
10640,0.23
10652,0.17
10664,0.17
10678,0.15
10690,0.15
10702,0.17
10715,0.20
10727,0.21
10740,0.24
10753,0.37
10765,0.37
10777,0.39
10789,0.24
10803,0.06
10815,-0.02
10828,-0.21
10842,-0.30
10855,-0.42
10869,-0.48
10883,-0.55
10896,-0.62
10909,-0.61
10923,-0.58
10937,-0.55
10950,-0.43
10963,-0.33
10977,-0.27
10990,-0.26
11004,-0.02
11018,0.28
11030,0.36
11042,0.33
11055,0.23
11067,0.21
11080,0.01
11092,-0.04
11106,-0.11
11119,-0.13
11132,-0.13
11147,-0.13
11160,-0.10
11173,-0.05
11187,0.02
11199,0.11
11212,0.30
11225,0.52
11237,0.71
11249,0.34
11261,0.23
11275,0.09
11287,-0.07
11300,-0.07
11314,-0.27
11327,-0.40
11341,-0.48
11355,-0.52
11368,-0.54
11381,-0.57
11395,-0.55
11409,-0.48
11422,-0.38
11436,-0.20
11449,-0.02
11462,0.17
11475,0.36
11488,0.09
11500,0.49
11512,0.68
11525,0.70
11538,0.55
11550,0.39
11563,0.27
11575,-0.08
11588,0.04
11601,-0.01
11615,-0.05
11628,-0.07
