,1.62,1.62
1181,-1.80,-1.80
1186,-1.77,-1.77
1191,-1.74,-1.74
1196,-1.69,-1.69
1201,-1.63,-1.63
1205,-1.58,-1.58
1210,-1.51,-1.51
1214,-1.47,-1.47
1219,-1.42,-1.42
1224,-1.33,-1.33
1228,-1.23,-1.23
1233,-1.13,-1.13
1238,-0.91,-0.91
1243,-0.64,-0.64
1247,-0.43,-0.43
1252,-0.11,-0.11
1257,0.21,0.21
1261,0.38,0.38
1265,0.60,0.60
1269,0.78,0.78
1273,1.02,1.02
1277,1.34,1.34
1282,1.58,1.58
1286,1.80,1.80
1290,1.98,1.98
1294,2.00,2.00
1298,2.00,2.00
1302,2.00,2.00
1306,2.00,2.00
1310,2.00,2.00
1314,2.00,2.00
1318,2.00,2.00
1324,2.00,2.00
1328,1.99,1.99
1332,1.95,1.95
1336,1.91,1.91
1340,1.84,1.84
1344,1.72,1.72
1348,1.55,1.55
1352,1.43,1.43
1356,1.24,1.24
1360,1.15,1.15
1364,1.09,1.09
1369,1.05,1.05
1373,1.03,1.03
1377,1.03,1.03
1381,1.01,1.01
1385,1.01,1.01
1390,1.01,1.01
1394,1.02,1.02
1398,1.01,1.01
1402,1.00,1.00
1406,0.99,0.99
1411,0.93,0.93
1415,0.89,0.89
1419,0.78,0.78
1423,0.70,0.70
1427,0.61,0.61
1431,0.46,0.46
1435,0.35,0.35
1439,0.21,0.21
1443,0.02,0.02
1447,-0.15,-0.15
1453,-0.36,-0.36
1458,-0.54,-0.54
1462,-0.80,-0.80
1467,-1.04,-1.04
1471,-1.20,-1.20
1476,-1.50,-1.50
1480,-1.73,-1.73
1485,-1.87,-1.87
1490,-1.95,-1.95
1495,-2.00,-2.00
1500,-2.00,-2.00
1504,-2.00,-2.00
1509,-2.00,-2.00
1513,-2.00,-2.00
1518,-1.97,-1.97
1523,-1.96,-1.96
1527,-1.97,-1.97
1532,-1.96,-1.96
1537,-1.91,-1.91
1542,-2.00,-2.00
1546,-1.76,-1.76
1551,-1.64,-1.64
1556,-1.69,-1.69
1560,-1.67,-1.67
1565,-1.62,-1.62
1569,-1.63,-1.63
1574,-1.77,-1.77
1579,-1.82,-1.82
1584,-2.00,-2.00
1589,-1.91,-1.91
1593,-2.00,-2.00
1598,-2.00,-2.00
1602,-2.00,-2.00
1607,-1.96,-1.96
1611,-1.92,-1.92
1616,-1.88,-1.88
1622,-1.88,-1.88
1626,-1.86,-1.86
1631,-1.86,-1.86
1635,-1.84,-1.84
1640,-1.80,-1.80
1644,-1.74,-1.74
1649,-1.71,-1.71
1654,-1.67,-1.67
1658,-1.66,-1.66
1664,-1.65,-1.65
1668,-1.62,-1.62
1673,-1.62,-1.62
1677,-1.60,-1.60
1682,-1.54,-1.54
1686,-1.42,-1.42
1691,-1.30,-1.30
1696,-1.17,-1.17
1700,-1.00,-1.00
1705,-0.82,-0.82
1710,-0.24,-0.24
1715,0.25,0.25
1719,0.72,0.72
1723,1.02,1.02
1727,1.27,1.27
1731,1.62,1.62
1735,1.87,1.87
1739,2.00,2.00
1743,2.00,2.00
1747,2.00,2.00
1752,2.00,2.00
1757,2.00,2.00
1761,2.00,2.00
1765,2.00,2.00
1769,2.00,2.00
1773,2.00,2.00
1777,2.00,2.00
1781,2.00,2.00
1785,1.79,1.79
1789,1.66,1.66
1794,1.54,1.54
1798,1.42,1.42
1802,1.34,1.34
1806,1.25,1.25
1810,1.12,1.12
1814,1.08,1.08
1818,1.05,1.05
1823,1.03,1.03
1827,1.02,1.02
1831,1.00,1.00
1836,0.96,0.96
1840,0.97,0.97
1844,0.96,0.96
1848,0.98,0.98
1852,0.99,0.99
1856,0.94,0.94
1860,0.89,0.89
1864,0.84,0.84
1868,0.77,0.77
1872,0.66,0.66
1876,0.57,0.57
1881,0.44,0.44
1885,0.27,0.27
1890,0.08,0.08
1894,-0.08,-0.08
1898,-0.25,-0.25
1903,-0.48,-0.48
1907,-0.70,-0.70
1912,-0.87,-0.87
1916,-1.36,-1.36
1922,-1.15,-1.15
1927,-1.43,-1.43
1931,-1.67,-1.67
1936,-1.82,-1.82
1940,-1.96,-1.96
1945,-2.00,-2.00
1949,-2.00,-2.00
1954,-2.00,-2.00
1959,-2.00,-2.00
1964,-2.00,-2.00
1969,-2.00,-2.00
1973,-2.00,-2.00
1978,-2.00,-2.00
1982,-2.00,-2.00
1987,-2.00,-2.00
1992,-2.00,-2.00
1996,-2.00,-2.00
2001,-2.00,-2.00
2006,-2.00,-2.00
2011,-1.94,-1.94
2015,-1.85,-1.85
2020,-1.85,-1.85
2025,-1.83,-1.83
2029,-1.78,-1.78
2034,-1.75,-1.75
2038,-1.73,-1.73
2043,-1.71,-1.71
2048,-1.75,-1.75
2053,-1.80,-1.80
2058,-1.82,-1.82
2062,-1.84,-1.84
2067,-1.85,-1.85
2071,-1.84,-1.84
2076,-1.81,-1.81
2080,-1.77,-1.77
2085,-1.73,-1.73
2091,-1.69,-1.69
2095,-1.64,-1.64
2100,-1.58,-1.58
2104,-1.55,-1.55
2109,-1.47,-1.47
2113,-1.35,-1.35
2118,-1.28,-1.28
2123,-1.02,-1.02
2127,-0.76,-0.76
2132,-0.47,-0.47
2137,-0.04,-0.04
2142,0.36,0.36
2146,0.68,0.68
2150,0.92,0.92
2154,1.29,1.29
2158,1.60,1.60
2162,1.91,1.91
2166,2.00,2.00
2170,2.00,2.00
2174,2.00,2.00
2179,1.83,1.83
2183,2.00,2.00
2188,2.00,2.00
2192,2.00,2.00
2196,1.96,1.96
2200,1.94,1.94
2204,1.83,1.83
2208,1.77,1.77
2212,1.61,1.61
2216,1.59,1.59
2221,1.51,1.51
2225,1.46,1.46
2229,1.36,1.36
2233,1.28,1.28
2237,1.20,1.20
2241,1.19,1.19
2245,1.16,1.16
2249,1.15,1.15
2254,1.16,1.16
2258,1.16,1.16
2263,1.18,1.18
2267,1.20,1.20
2271,1.20,1.20
2275,1.22,1.22
2279,1.21,1.21
2283,1.21,1.21
2287,1.17,1.17
2291,1.15,1.15
2295,1.11,1.11
2299,1.08,1.08
2304,1.00,1.00
2308,0.92,0.92
2312,0.85,0.85
2316,0.74,0.74
2321,0.61,0.61
2325,0.50,0.50
2329,0.34,0.34
2333,0.21,0.21
2337,0.10,0.10
2341,-0.02,-0.02
2345,-0.25,-0.25
2351,-0.50,-0.50
2356,-0.73,-0.73
2360,-1.00,-1.00
2365,-1.18,-1.18
2369,-1.36,-1.36
2374,-1.64,-1.64
2378,-1.90,-1.90
2383,-1.95,-1.95
2388,-2.00,-2.00
2393,-2.00,-2.00
2398,-2.00,-2.00
2402,-2.00,-2.00
2407,-1.96,-1.96
2411,-1.89,-1.89
2416,-1.85,-1.85
2421,-1.88,-1.88
2425,-1.90,-1.90
2430,-1.95,-1.95
2435,-2.00,-2.00
2440,-2.00,-2.00
2444,-2.00,-2.00
2449,-2.00,-2.00
2454,-2.00,-2.00
2458,-2.00,-2.00
2463,-2.00,-2.00
2467,-2.00,-2.00
2472,-2.00,-2.00
2477,-2.00,-2.00
2482,-2.00,-2.00
2486,-2.00,-2.00
2491,-1.97,-1.97
2496,-1.88,-1.88
2500,-1.84,-1.84
2505,-1.79,-1.79
2509,-1.75,-1.75
2514,-1.69,-1.69
2520,-1.61,-1.61
2524,-1.54,-1.54
2529,-1.45,-1.45
2533,-1.36,-1.36
2538,-1.22,-1.22
2542,-1.07,-1.07
2547,-0.76,-0.76
2551,-0.37,-0.37
2556,-0.04,-0.04
2562,0.17,0.17
2566,0.39,0.39
2570,0.72,0.72
2574,0.87,0.87
2578,1.11,1.11
2582,1.39,1.39
2586,1.74,1.74
2590,2.00,2.00
2594,2.00,2.00
2598,2.00,2.00
2603,2.00,2.00
2607,2.00,2.00
2611,2.00,2.00
2615,2.00,2.00
2620,2.00,2.00
2624,2.00,2.00
2628,2.00,2.00
2632,2.00,2.00
2636,1.89,1.89
2640,1.70,1.70
2644,1.53,1.53
2649,1.31,1.31
2653,1.22,1.22
2657,1.14,1.14
2661,1.07,1.07
2665,1.14,1.14
2669,1.14,1.14
2673,1.14,1.14
2677,1.09,1.09
2681,1.08,1.08
2686,1.10,1.10
2691,1.10,1.10
2695,1.06,1.06
2699,0.98,0.98
2703,1.01,1.01
2707,0.93,0.93
2711,0.89,0.89
2715,0.76,0.76
2719,0.63,0.63
2723,0.39,0.39
2727,0.16,0.16
2732,0.17,0.17
2736,-0.08,-0.08
2741,-0.24,-0.24
2745,-0.34,-0.34
2750,-0.37,-0.37
2755,-0.46,-0.46
2759,-0.61,-0.61
2764,-0.99,-0.99
2768,-1.09,-1.09
2774,-1.36,-1.36
2778,-1.65,-1.65
2783,-1.84,-1.84
2788,-1.93,-1.93
2792,-1.75,-1.75
2797,-2.00,-2.00
2801,-2.00,-2.00
2806,-2.00,-2.00
2810,-2.00,-2.00
2816,-2.00,-2.00
2821,-2.00,-2.00
2825,-2.00,-2.00
2830,-2.00,-2.00
2834,-2.00,-2.00
2839,-2.00,-2.00
2843,-2.00,-2.00
2848,-2.00,-2.00
2853,-2.00,-2.00
2857,-1.98,-1.98
2863,-1.97,-1.97
2867,-1.96,-1.96
2872,-1.97,-1.97
2876,-1.99,-1.99
2881,-1.97,-1.97
2885,-2.00,-2.00
2890,-2.00,-2.00
2895,-2.00,-2.00
2899,-2.00,-2.00
2905,-2.00,-2.00
2909,-2.00,-2.00
2914,-1.96,-1.96
2919,-1.86,-1.86
2923,-1.80,-1.80
2928,-1.74,-1.74
2932,-1.67,-1.67
2937,-1.62,-1.62
2941,-1.54,-1.54
2947,-1.50,-1.50
2951,-1.41,-1.41
2956,-1.31,-1.31
2961,-1.19,-1.19
2965,-1.07,-1.07
2970,-0.69,-0.69
2974,-0.32,-0.32
2979,0.10,0.10
2983,0.42,0.42
2988,0.77,0.77
2992,1.33,1.33
2996,1.73,1.73
3000,2.00,2.00
3004,2.00,2.00
3008,2.00,2.00
3012,2.00,2.00
3016,2.00,2.00
3021,2.00,2.00
3025,2.00,2.00
3030,2.00,2.00
3034,2.00,2.00
3038,2.00,2.00
3042,2.00,2.00
3046,2.00,2.00
3050,2.00,2.00
3054,1.98,1.98
3058,1.91,1.91
3062,1.71,1.71
3066,1.64,1.64
3070,1.55,1.55
3075,1.36,1.36
3079,1.30,1.30
3083,1.24,1.24
3088,1.17,1.17
3092,1.03,1.03
3096,1.03,1.03
3100,1.03,1.03
3104,1.04,1.04
3108,1.08,1.08
3112,1.12,1.12
3117,1.18,1.18
3121,1.23,1.23
3125,1.28,1.28
3129,1.26,1.26
3133,1.22,1.22
3137,1.17,1.17
3141,1.10,1.10
3145,1.04,1.04
3149,0.94,0.94
3154,0.84,0.84
3159,0.73,0.73
3163,0.58,0.58
3167,0.35,0.35
3171,0.20,0.20
3175,0.15,0.15
3179,0.06,0.06
3183,-0.00,-0.00
3188,-0.09,-0.09
3192,-0.33,-0.33
3197,-0.55,-0.55
3202,-0.85,-0.85
3207,-1.58,-1.58
3211,-1.12,-1.12
3216,-1.43,-1.43
3221,-1.72,-1.72
3225,-1.80,-1.80
3230,-1.95,-1.95
3234,-1.95,-1.95
3239,-1.99,-1.99
3244,-1.98,-1.98
3249,-2.00,-2.00
3254,-2.00,-2.00
3258,-2.00,-2.00
3263,-2.00,-2.00
3267,-2.00,-2.00
3272,-2.00,-2.00
3276,-2.00,-2.00
3281,-2.00,-2.00
3287,-2.00,-2.00
3291,-2.00,-2.00
3296,-1.86,-1.86
3300,-1.78,-1.78
3305,-1.57,-1.57
3309,-1.46,-1.46
3314,-1.54,-1.54
3319,-1.54,-1.54
3323,-1.53,-1.53
3329,-1.66,-1.66
3333,-1.79,-1.79
3338,-1.88,-1.88
3342,-1.88,-1.88
3347,-1.88,-1.88
3352,-1.83,-1.83
3356,-2.00,-2.00
3361,-2.00,-2.00
3365,-2.00,-2.00
3371,-2.00,-2.00
3375,-2.00,-2.00
3380,-2.00,-2.00
3384,-2.00,-2.00
3389,-2.00,-2.00
3394,-2.00,-2.00
3398,-1.88,-1.88
3403,-1.70,-1.70
3407,-1.57,-1.57
3412,-1.43,-1.43
3417,-1.29,-1.29
3422,-1.15,-1.15
3427,-1.00,-1.00
3431,-0.80,-0.80
3436,-0.58,-0.58
3440,-0.34,-0.34
3445,-0.17,-0.17
3449,0.12,0.12
3454,0.39,0.39
3459,0.81,0.81
3463,1.16,1.16
3467,1.49,1.49
3471,1.85,1.85
3475,2.00,2.00
3479,2.00,2.00
3483,2.00,2.00
3487,2.00,2.00
3491,2.00,2.00
3495,2.00,2.00
3500,2.00,2.00
3504,2.00,2.00
3508,2.00,2.00
3512,2.00,2.00
3516,2.00,2.00
3521,2.00,2.00
3525,2.00,2.00
3529,1.86,1.86
3533,1.72,1.72
