,1.43
0,1.43
1,1.43
1,1.41
2,1.41
2,1.41
3,1.40
3,1.40
4,1.38
7,1.35
15,1.31
25,1.25
34,1.27
44,1.19
53,1.15
62,1.14
71,1.11
80,1.09
91,1.12
100,1.15
110,1.18
120,1.24
131,1.31
141,1.38
151,1.40
162,1.31
173,1.30
183,1.33
193,1.41
203,1.44
214,1.46
225,1.44
235,1.38
245,1.28
256,1.19
266,1.15
276,0.96
287,1.12
297,1.08
308,1.06
318,1.05
328,1.05
338,1.05
349,1.08
360,1.06
370,1.09
380,1.09
391,1.16
401,1.31
411,1.18
422,1.52
433,1.50
443,1.50
453,1.43
463,1.35
474,1.27
484,0.90
495,1.12
505,1.09
516,1.08
526,1.05
536,1.06
546,1.11
558,1.14
568,1.18
578,1.24
588,1.33
599,1.40
609,1.44
620,1.43
630,1.37
641,1.30
651,1.33
661,1.31
671,1.34
681,1.38
693,1.37
703,1.33
713,1.27
723,1.21
734,1.30
744,1.16
755,1.18
765,1.14
776,1.15
786,1.16
796,1.19
806,1.18
817,1.19
828,1.28
838,1.35
848,1.31
859,1.43
869,1.50
879,1.46
890,1.41
901,1.38
911,1.31
921,1.21
931,1.18
942,1.11
953,1.08
963,1.09
973,1.11
984,1.15
994,1.18
1004,1.22
1015,1.31
1028,1.38
1039,1.46
1050,1.44
1061,1.30
1073,1.30
1085,1.33
1096,1.37
1107,1.38
1119,1.35
1130,1.27
1141,1.21
1154,0.93
1165,1.09
1176,1.11
1187,1.12
1199,1.09
1210,1.09
1222,1.09
1233,1.12
1245,1.12
1256,1.15
1267,1.15
1278,1.30
1291,1.49
1302,1.47
1313,1.46
1325,1.35
1336,1.24
1347,0.86
1359,1.06
1371,1.05
1382,1.02
1393,0.99
1404,0.97
1416,1.00
1428,1.03
1439,1.08
1451,1.15
1462,1.24
1473,1.30
1485,1.19
1497,0.90
1508,0.84
1519,1.09
1530,1.31
1542,1.40
1554,1.43
1565,1.35
1576,1.27
1588,1.25
1599,1.14
1610,1.14
1623,1.11
1634,1.11
1645,1.12
1656,1.12
1668,1.12
1679,1.14
1691,1.15
1702,1.22
1714,1.28
1725,1.37
1736,1.47
1747,1.47
1760,1.47
1771,1.47
1782,1.44
1794,1.34
1805,1.27
1817,1.46
1828,1.11
1840,1.06
1851,1.03
1862,1.00
1873,1.00
1886,1.06
1897,1.12
1908,1.14
1920,1.22
1931,1.34
1942,1.37
