7,0.15,0.15
9,-0.01,-0.01
10,-0.05,-0.05
12,-0.2,-0.2
14,-0.34,-0.34
16,-0.36,-0.36
18,-0.44,-0.44
20,-0.5,-0.5
24,-0.6,-0.6
28,-0.78,-0.78
33,-0.87,-0.87
37,-0.86,-0.86
41,-0.78,-0.78
46,-0.81,-0.81
50,-0.8,-0.8
54,-0.84,-0.84
58,-0.93,-0.93
62,-1.06,-1.06
66,-1.17,-1.17
70,-1.33,-1.33
74,-1.48,-1.48
78,-1.6,-1.6
82,-1.67,-1.67
87,-1.72,-1.72
91,-1.76,-1.76
95,-1.64,-1.64
100,-1.56,-1.56
104,-1.52,-1.52
108,-1.3,-1.3
112,-1.12,-1.12
117,-0.94,-0.94
121,-0.87,-0.87
125,-0.94,-0.94
131,-1.06,-1.06
135,-1.24,-1.24
139,-1.45,-1.45
144,-1.66,-1.66
148,-1.9,-1.9
152,-2,-2
157,-2,-2
161,-2,-2
165,-2,-2
171,-2,-2
175,-2,-2
179,-2,-2
184,-2,-2
188,-2,-2
192,-2,-2
196,-2,-2
201,-2,-2
205,-2,-2
209,-2,-2
215,-2,-2
219,-1.97,-1.97
223,-1.68,-1.68
228,-1.42,-1.42
232,-0.96,-0.96
236,-0.74,-0.74
241,-0.46,-0.46
245,-0.32,-0.32
249,-0.13,-0.13
254,-0.03,-0.03
259,0.04,0.04
263,0.09,0.09
267,0.14,0.14
270,0.23,0.23
274,0.29,0.29
278,0.43,0.43
282,0.62,0.62
286,0.73,0.73
289,0.83,0.83
293,0.95,0.95
297,1.05,1.05
302,1.11,1.11
306,1.39,1.39
309,1.53,1.53
313,1.67,1.67
317,1.81,1.81
321,1.84,1.84
325,1.8,1.8
328,1.64,1.64
332,1.48,1.48
336,1.29,1.29
340,1.18,1.18
345,1.08,1.08
348,1,1
352,1,1
356,1,1
360,1.01,1.01
364,1,1
368,0.99,0.99
371,0.99,0.99
375,1.03,1.03
379,1.11,1.11
384,1.21,1.21
388,1.32,1.32
391,1.42,1.42
395,1.52,1.52
399,1.63,1.63
403,1.73,1.73
407,1.82,1.82
410,1.88,1.88
414,1.94,1.94
418,1.98,1.98
422,2,2
427,2,2
430,2,2
434,2,2
438,2,2
442,2,2
446,2,2
450,2,2
453,2,2
