,-0.57,-0.57
1174,-1.46,-1.46
1179,-1.30,-1.30
1183,-1.08,-1.08
1188,-0.86,-0.86
1192,-0.71,-0.71
1198,-0.42,-0.42
1202,-0.12,-0.12
1207,0.27,0.27
1211,0.59,0.59
1215,0.88,0.88
1219,1.14,1.14
1223,1.37,1.37
1227,1.51,1.51
1231,1.62,1.62
1235,1.75,1.75
1241,1.83,1.83
1245,1.87,1.87
1249,1.91,1.91
1253,1.91,1.91
1257,1.91,1.91
1261,1.63,1.63
1265,1.83,1.83
1269,1.72,1.72
1273,1.80,1.80
1277,1.75,1.75
1282,1.76,1.76
1286,1.81,1.81
1290,1.85,1.85
1294,1.87,1.87
1298,1.87,1.87
1302,1.85,1.85
1307,1.80,1.80
1311,1.73,1.73
1315,1.60,1.60
1319,1.50,1.50
1324,1.41,1.41
1328,1.29,1.29
1332,1.20,1.20
1336,1.10,1.10
1340,1.00,1.00
1344,0.93,0.93
1348,0.86,0.86
1352,0.83,0.83
1356,0.78,0.78
1360,0.76,0.76
1364,0.75,0.75
1369,0.70,0.70
1374,0.71,0.71
1378,0.68,0.68
1382,0.58,0.58
1386,0.52,0.52
1390,0.36,0.36
1394,0.17,0.17
1398,-0.01,-0.01
1402,-0.23,-0.23
1408,-0.41,-0.41
1413,-0.64,-0.64
1417,-0.84,-0.84
1422,-0.93,-0.93
1426,-1.03,-1.03
1431,-1.32,-1.32
1435,-1.49,-1.49
1440,-1.62,-1.62
1445,-1.80,-1.80
1449,-1.93,-1.93
1455,-2.00,-2.00
1459,-2.00,-2.00
1464,-2.00,-2.00
1468,-2.00,-2.00
1473,-2.00,-2.00
1478,-2.00,-2.00
1482,-2.00,-2.00
1487,-2.00,-2.00
1491,-2.00,-2.00
1497,-1.94,-1.94
1501,-1.76,-1.76
1506,-1.60,-1.60
1511,-1.48,-1.48
1515,-1.78,-1.78
1520,-1.22,-1.22
1524,-1.77,-1.77
1529,-1.76,-1.76
1533,-1.95,-1.95
1539,-1.82,-1.82
1544,-1.88,-1.88
1548,-1.87,-1.87
1553,-1.87,-1.87
1557,-1.89,-1.89
1562,-1.85,-1.85
1566,-1.86,-1.86
1571,-1.88,-1.88
1576,-1.92,-1.92
1581,-1.96,-1.96
1586,-1.99,-1.99
1590,-2.00,-2.00
1595,-2.00,-2.00
1599,-2.00,-2.00
1604,-2.00,-2.00
1609,-2.00,-2.00
1613,-2.00,-2.00
1618,-2.00,-2.00
1623,-2.00,-2.00
1628,-2.00,-2.00
1632,-1.96,-1.96
1637,-1.85,-1.85
1642,-1.70,-1.70
1646,-1.49,-1.49
1651,-1.28,-1.28
1655,-1.12,-1.12
1660,-0.89,-0.89
1665,-0.67,-0.67
1670,-0.48,-0.48
1675,-0.25,-0.25
1679,-0.03,-0.03
1684,0.16,0.16
1688,0.41,0.41
1692,0.69,0.69
1696,1.02,1.02
1700,1.37,1.37
1704,1.69,1.69
1709,1.89,1.89
1713,2.00,2.00
1717,2.00,2.00
1721,2.00,2.00
1725,2.00,2.00
1729,2.00,2.00
1733,2.00,2.00
1738,2.00,2.00
1742,2.00,2.00
1746,2.00,2.00
1751,2.00,2.00
1755,1.92,1.92
1759,1.74,1.74
1763,1.58,1.58
1767,1.43,1.43
1771,1.27,1.27
1775,1.17,1.17
1779,1.09,1.09
1783,1.02,1.02
1787,0.97,0.97
1792,0.90,0.90
1796,0.84,0.84
1800,0.84,0.84
1805,0.86,0.86
1809,0.89,0.89
1813,0.94,0.94
1817,1.00,1.00
1821,1.07,1.07
1825,1.11,1.11
1829,1.15,1.15
1833,1.15,1.15
1838,1.16,1.16
1842,1.12,1.12
1846,1.05,1.05
1850,0.97,0.97
1854,0.87,0.87
1858,0.76,0.76
1862,0.62,0.62
1866,0.47,0.47
1871,0.28,0.28
1875,0.01,0.01
1880,-0.19,-0.19
1884,-0.39,-0.39
1889,-0.64,-0.64
1893,-0.82,-0.82
1898,-1.11,-1.11
1902,-1.15,-1.15
1907,-1.25,-1.25
1912,-1.45,-1.45
1916,-1.55,-1.55
1922,-1.78,-1.78
1926,-1.97,-1.97
1931,-2.00,-2.00
1935,-2.00,-2.00
1940,-2.00,-2.00
1945,-2.00,-2.00
1949,-2.00,-2.00
1954,-2.00,-2.00
1958,-2.00,-2.00
1964,-2.00,-2.00
1968,-2.00,-2.00
1973,-2.00,-2.00
1978,-2.00,-2.00
1982,-2.00,-2.00
1987,-2.00,-2.00
1991,-1.77,-1.77
1996,-1.45,-1.45
2000,-1.45,-1.45
2006,-1.48,-1.48
2011,-1.50,-1.50
2015,-1.52,-1.52
2020,-1.53,-1.53
2024,-1.54,-1.54
2029,-1.53,-1.53
2033,-1.52,-1.52
2038,-1.45,-1.45
2043,-1.42,-1.42
2048,-1.60,-1.60
2053,-1.74,-1.74
2057,-1.87,-1.87
2062,-1.96,-1.96
2066,-2.00,-2.00
2071,-2.00,-2.00
2076,-2.00,-2.00
2080,-2.00,-2.00
2085,-2.00,-2.00
2089,-2.00,-2.00
2095,-1.96,-1.96
2099,-1.89,-1.89
2104,-1.83,-1.83
2109,-1.71,-1.71
2113,-1.56,-1.56
2118,-1.44,-1.44
2122,-1.31,-1.31
2127,-1.16,-1.16
2131,-1.01,-1.01
2137,-0.79,-0.79
2142,-0.55,-0.55
2146,-0.31,-0.31
2151,-0.09,-0.09
2155,0.19,0.19
2159,0.46,0.46
2163,0.72,0.72
2167,1.01,1.01
2172,1.24,1.24
2177,1.43,1.43
2181,1.60,1.60
2185,1.70,1.70
2189,1.77,1.77
2193,1.83,1.83
2197,1.77,1.77
2201,1.96,1.96
2205,1.84,1.84
2209,1.95,1.95
2213,1.91,1.91
2217,1.82,1.82
2222,1.73,1.73
2226,1.64,1.64
2230,1.59,1.59
2234,1.55,1.55
2239,1.54,1.54
2243,1.55,1.55
2247,1.57,1.57
2251,1.62,1.62
2255,1.61,1.61
2259,1.59,1.59
2264,1.54,1.54
2268,1.46,1.46
2272,1.39,1.39
2276,1.30,1.30
2280,1.26,1.26
2284,1.25,1.25
2288,1.27,1.27
2292,1.31,1.31
2296,1.38,1.38
2300,1.45,1.45
2306,1.52,1.52
2310,1.57,1.57
2314,1.59,1.59
2318,1.56,1.56
2322,1.50,1.50
2326,1.43,1.43
2330,1.30,1.30
2334,1.15,1.15
2338,0.98,0.98
2342,0.78,0.78
2347,0.59,0.59
2351,0.43,0.43
2355,0.36,0.36
2359,0.24,0.24
2363,0.02,0.02
2367,-0.21,-0.21
2372,-0.42,-0.42
2377,-0.59,-0.59
2381,-0.78,-0.78
